SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
08/15/20,14.66984382,14.50954112,14.05254835,1.61521588,1.91509437
08/16/20,17.81372066,17.1279013,17.23664066,2.33750004,3.35450102
08/17/20,11.35519896,11.08852928,11.17738754,3.96003278,3.87974788
08/18/20,11.98018783,11.83180295,10.77162401,3.20822272,4.44829116
08/19/20,9.61878281,10.37401092,11.45687071,4.85045601,5.6973793
08/20/20,10.39276086,11.34371999,11.18855119,4.90148911,5.40036563
08/21/20,9.99496186,10.71038219,4.96222136,2.54989873,8.2378249
08/22/20,2.76638575,6.726584226,0.46263654,10.08705938,16.87070819
08/23/20,19.82682128,19.06631519,18.6527504,3.27921479,4.5033862
08/24/20,37.48644628,35.1925376,23.57525369,27.34232598,20.19150303
08/25/20,21.82324396,21.075835906,21.18724003,2.613690494,4.80943549
08/26/20,19.65985587,18.6220637,18.64980601,2.66260963,5.03909486
08/27/20,10.97335162,11.10307371,11.82395842,1.29154669,2.1977263
08/28/20,10.02286859,12.022389298,-3.74400211,5.514766804,18.1323491
08/29/20,-8.78750951,-6.134717319,-10.54415268,8.234541787,11.02886667
08/30/20,6.74998962,5.96348548,6.09685363,1.6120428,1.97420361
08/31/20,14.23061387,13.30557327,15.44354959,3.874977,5.2528628
09/01/20,-1.13950764,-1.854063539,-22.72928359,8.572777875,29.48087701
09/02/20,0.43221458,1.193205308,-0.78519526,5.755580238,6.59490504
09/03/20,2.89169247,5.65157089,-7.19313318,6.71529572,17.33717981
09/04/20,5.96437673,8.12181727,9.99069799,5.26220634,5.90277088
09/05/20,14.16503088,13.43210805,14.35534001,2.47306991,3.55518337
09/06/20,-1.85621615,1.909329367,-3.44384671,6.338234369,12.9617992
09/07/20,-1.33012992,2.73639415,-35.36986935,6.443336805,35.83451067
09/08/20,10.34555217,9.81777439,10.99902366,1.52032094,2.33151899
09/09/20,-4.14398989,2.370254194,6.09321825,10.779314406,12.89356112
09/10/20,-5.09021629,2.809963868,-39.30408767,13.673457194,49.70557874
09/11/20,1.40389097,4.233092994,-0.27501254,7.155951865,10.55354519
09/12/20,9.21338986,9.25252197,9.93533256,1.01257349,1.71021424
09/13/20,5.58425375,6.250915474,6.95659687,2.614882056,3.28569912
09/14/20,10.60702334,10.18879735,11.06524703,1.33421667,1.58067243
09/15/20,9.18429126,9.93998866,10.95705872,2.55440996,3.17765808
09/16/20,9.84223104,9.08398912,9.52914314,3.574638972,3.77929134
09/17/20,4.83976135,9.251576132,7.69194331,6.447034718,7.99321476
09/18/20,1.69974229,5.015911232,-11.23209958,7.363240186,18.23765585
09/19/20,6.59380646,8.161399463,6.75094233,3.762497935,4.42381835
09/20/20,-12.24794438,5.246619646,-56.56364094,19.554205126,53.95545716
09/21/20,-2.23125472,5.044182498,-30.64011703,10.290618102,36.81540681
09/22/20,3.0304006,6.077303333,-15.77034598,5.918755977,22.62533138
09/23/20,4.97375729,8.853573696,-8.2877702,6.894684486,18.16208383
09/24/20,11.86960782,11.65720205,10.79060312,3.13319507,4.48106502
09/25/20,1.36462221,8.258835823,-19.07378401,11.809075707,33.65513832
09/26/20,11.45644005,11.520830796,12.1275986,2.585306096,3.31701931
09/27/20,13.19129998,12.603869747,12.96486971,3.696742951,5.46991323
09/28/20,2.13441269,5.721092656,2.16676103,11.519718112,14.61707232
09/29/20,11.42433443,11.33038573,11.36348374,2.63354588,3.41392177
09/30/20,8.48694321,10.323806044,9.8579976,3.63392215,4.16332835
10/01/20,-1.19810054,0.844892227,-12.97889253,7.357123187,17.30147387
10/02/20,-9.54672599,-4.017500937,-27.08512661,9.8401066,23.35579834
10/03/20,6.58247985,6.282183411,6.16001306,2.064959815,2.17296701
10/04/20,4.65449651,4.927737106,6.15788947,2.565344118,3.72621536
10/05/20,11.95265236,11.52882606,12.04059506,3.85403232,6.37723174
10/06/20,14.25838258,15.924149665,23.41823903,9.209681123,13.07339059
10/07/20,17.36031294,18.043559032,-6.703649,7.844661168,31.97551356
10/08/20,-2.1760848,4.76071249,-22.08592768,12.37121415,28.76715762
